SOURCE: [^enoughrope04]
CITATION: Enough Rope ABC interview 2004 (likely fails, video page)
4:294 minutes, 29 secondsparty in November and in January Robert tickner who was then the minister for Aboriginal Affairs
4:384 minutes, 38 secondsand the labor government he said Aboriginal deaths in custody well maybe we shouldn't lock up any aboriginals and
4:474 minutes, 47 secondsI thought hang on a minute these are Australians these are people who commit crimes against Society well then if you're not going to lock up
4:544 minutes, 54 secondsaboriginals then don't lock up anyone and what I was saying is that's not the solution to it you've got to treat everyone equally
5:025 minutes, 2 secondsand people must be responsible for their actions so I wrote this letter to the newspaper and course then it started from there it came from Howard that I
5:115 minutes, 11 secondsactually had to go and the Liberal Party sacked me out of the party and of course that that was the end of it and I was dis-endorsed and
5:185 minutes, 18 secondswhen I went and saw Dad he said to me when I walked in he said why did you open your mouth
5:265 minutes, 26 secondsand I said Dan maybe I'll never change anything but I know something it's because of people like you and your attitude that's why
5:355 minutes, 35 secondsthings will never change I said maybe I won't I said well I won't know unless I have a go and I said I'm having a go well let's take a look at we've got some
5:435 minutes, 43 secondsof the probably the most famous made in speech in the history of the Australian Parliament we've got some of it now I believe we are in danger of being swamped by Asians
5:525 minutes, 52 secondsbetween 1984 and 1995 40 of all migrants into this country were of Asian origin
6:016 minutes, 1 secondthey have their own culture and religion form ghettos and do not assimilate
6:096 minutes, 9 secondsnow all hell broke loose after that made in speech what do you remember of that time after that I got to say when I went
6:166 minutes, 16 secondsinto that house to deliver that speech that was my first speech in Parliament um I was so nervous my knees were shaking you could tell you know coming
6:256 minutes, 25 secondsacross there and delivering that speech the um the the switchboard lit up at Parliament House actually they couldn't
6:346 minutes, 34 secondshandle calls um one telephones that worked there for 17 years she said it's she'd never
6:416 minutes, 41 secondsseen anything like before I think part of the reason that many people like you is because they saw a great strength in there in your maiden speech
6:486 minutes, 48 secondsthe way you conducted yourself and in that strength there was also an undercurrent of anger I'm just wondering where that because you spoke
6:566 minutes, 56 secondsfor a lot of people where that anger came from because everything's been we've been
7:037 minutes, 3 secondssuppressed and how we're supposed to feel and I think where the government policies has taken us over the years hasn't helped anyone you know hasn't
7:127 minutes, 12 secondshelped the Aboriginal people hasn't helped us as Australians you know it's caused a division between us I didn't see that when I was a child probably
7:207 minutes, 20 secondsbecause I was very naive and I was in my own little world but I've certainly seen it now my kids have grown up with Aboriginal kids my neighbors were
7:287 minutes, 28 secondsAboriginal kids my home was open to them you know we are all Australians and that's the bottom line and since I've been on the scene when I was campaigning
7:377 minutes, 37 seconds1998 I had Amelia Campbell who was actually her grandfather was on the 50 note an Aboriginal lady and she came to
7:447 minutes, 44 secondsa press conference and she had about 12 other people they're mainly women with their children and she grabbed my hand she held up my hand she said Pauline we've been hoping and praying for
7:537 minutes, 53 secondssomeone like you to come along and listen to us and she told the media she said our women are being bashed and raped she said our kids are on the
8:008 minutesstreets glue sniffing or on drugs and she said no one cares is because if you say anything you criticize do you call a racist you know criticism is not racism
8:098 minutes, 9 secondsbut until you actually start to debate these issues are you going to find the answers and they're just being used just pawns by the politicians and minority
8:188 minutes, 18 secondsgroups for their own justification and it hurts me to see this happen to these people so I'm sort of saying let's do it
8:268 minutes, 26 secondsdifferently let's see accountability let's give these people back this self-esteem and self-respect in many people's eyes you were a racist
8:348 minutes, 34 secondsin your eyes what's a racist find the word what race beliefs that they raise to be superior
8:428 minutes, 42 secondsto another's I've never advocated that and I challenge anyone to tell me one thing that I've said that it's racist criticism is not racism accountability
8:518 minutes, 51 secondsit's not racism and that's what I've tried to say over the years many people took your comments to mean other things in that first six months between being
9:009 minuteselected member for Oxley and and your maiden speech over that time you said amongst other things we're in danger of being spawned by Asians that we should
9:079 minutes, 7 secondscease all immigrations that Aborigines were not more disadvantaged than white people and that you would represent those in your electorate except
9:169 minutes, 16 secondsaboriginals and Torres Strait Islanders were you aware of the impact of what you were saying whatever you meant
9:239 minutes, 23 secondswas having on many people's lives now you made a comment um they're about um
9:329 minutes, 32 secondsuh that I wouldn't represent the Aboriginal people after I was elected to Parliament I did an interview with the Australian over
9:409 minutes, 40 secondsthe phone and the headlines came out saying that I wouldn't represent the Aboriginal Torres Strait and Islander people
9:479 minutes, 47 secondsI was taken before the human rights and equal opportunity and for 18 months this this went on
9:549 minutes, 54 secondstouring frown over this comment at the end of 19 an ITA I think was Sir
10:0210 minutes, 2 secondsRonald Wilson came down to finding that what I said was not racist at all they had the full tape of the conversation that I had with the journalist
10:1010 minutes, 10 secondsthey actually took it completely out of context so he actually found that it was not any racist comments that I never said that I wouldn't represent the
10:1810 minutes, 18 secondsAboriginal Torres Strait Islander people despite what you're saying about not appearing racist or not having a racist
10:2710 minutes, 27 secondsplatform your fellow Travelers made it very hard for you to be disassociated from that One Nation MP Jeff knuth I think I've
10:3610 minutes, 36 secondsgot his name around said it would be better if the Aborigines went back to the pastoralist and said can we just we're not going to
10:4410 minutes, 44 secondstake your land we'll just live on a Workforce you'll give us a bit of meat yeah I'm not I'm not aware of that Andrew at the time because a few a few
10:5410 minutes, 54 secondsdays later the point I'm making I'm not trying to pin you on something here these were your fellow Travelers your health
11:0111 minutes, 1 secondactually publicly questioned the statistics on Aboriginal infant mortality as though they might have been
11:0911 minutes, 9 secondsmade up for some other reason now this is of course as you know one of the Great health problems we have in this country
11:1511 minutes, 15 secondsand it wasn't just you know this woman came along and they
11:2511 minutes, 25 secondsthought there was a platform to go and say whatever they wanted to give us your health spokesperson we were oh I wouldn't even know um I don't even know
11:3211 minutes, 32 secondswho he is I know Jeff knirti actually won his seat and he was he he launched your health policy yeah probably from New South Wales
11:4111 minutes, 41 secondshe did that was the one nation Health policy in that election you know David attridge was um worked with these candidates as well
11:4911 minutes, 49 secondsand we actually if anyone actually came in with these radical views or anything like that we got rid of them out of the party we didn't want that that was not
11:5811 minutes, 58 secondswhat we're about we just endorsed and one was an MP and the other was your health spokesperson so they were they were representatives of the party there
12:0612 minutes, 6 secondswere I mean there were others fellow Travelers um Pauline Nations the truth the book you published in 97. which one Pauline
12:1412 minutes, 14 secondsNations the truth do you remember that book um truth it was yeah okay that was written by some other people who actually but it
12:2212 minutes, 22 secondswas it was called and you launched it and had the the copyright on it the interesting thing about that is it had at the front some of your speeches which
12:2912 minutes, 29 secondswere legitimately on yours but then it also included material written by people connected with very extreme right-wing groups who said things like Aborigines
12:3812 minutes, 38 secondswere cannibals and that Australia would one day be part of the United States of Asia and part of a conspiracy to
12:4512 minutes, 45 secondsexterminate the white Anglo-Saxon males did you realize that these things were being no published in your name no how did that happen
12:5412 minutes, 54 secondsum like I said at the time there was so much happening with the media and you just cannot do everything yourself you just cannot sit down and read every book or every article or know every Canada
13:0213 minutes, 2 secondsthat stood but this is pretty important stuff I mean and that's why you allow you know that's why you delegate the jobs and people in in the positions to
13:1113 minutes, 11 secondsactually um sieve through all this and do it when you're a leader of a political party um and in that position you take on that
13:1813 minutes, 18 secondsjob well then yes you have to okay be responsible for it because you're in that position but when it got to a stage where it's all these so much was
13:2713 minutes, 27 secondshappening and you can't do everything yourself and you've got to delegate the job and give the responsibility to someone else but if the buck stops with you you just can't and if you're going
13:3613 minutes, 36 secondsto do a decent job if you're going to get people to respect you your views and opinions you know that's
13:4313 minutes, 43 secondsum I think that's why now I've just resigned from the parties National prison in 2002 and I've I wish to party
13:5013 minutes, 50 secondsall the best but I'm not a part of it who do you trust now
13:5813 minutes, 58 secondsyeah that's that's a good question um I think the um
14:0614 minutes, 6 secondsI in a lot of ways I think I looked to my father for their guidance and I think the people that
14:1314 minutes, 13 secondsthat were there I think you really know who your friends when you actually go through
14:1914 minutes, 19 secondsthe time that I did last year and you look at the people there that were really there for you
14:2614 minutes, 26 secondsand you can't give up not trusting some people because it will be a very lonely life let's talk about that time last year
14:3414 minutes, 34 secondsAugust 20 I think it was sentenced to three years in jail can you give us some idea of what it's like to be put in a van we've taken away
14:4414 minutes, 44 secondsI after we left the courtroom and I think when I was taken through the door and
14:5114 minutes, 51 secondsthey put the handcuffs on me and just the the sheer weight of the handcuffs the realization started hit me and then
15:0015 minutesthe first time that I was put into a cell we were taken downstairs and had to be
15:0815 minutes, 8 secondsstrip searched and then preparations were made to actually be taken in the van and just that you your your whole
15:1715 minutes, 17 secondsdignity is stripped from you and here I kept professing my innocence to Australian people and I know I've got a
15:2415 minutes, 24 secondsproblem so you know I'm quite glad to go before my peers but when your peers found you guilty and yet um what do you
15:3215 minutes, 32 secondssay to the Australian people you know when you keep professing you're innocent and yet others find you guilty I assume
15:3915 minutes, 39 secondsthat this prison experience will stay with you for the rest of your life and we'll shape you in some ways would that be
15:4815 minutes, 48 secondsfair I guess yeah it has um it's taken me an extremely long time and I don't think I'll ever get over it
15:5615 minutes, 56 secondsyou were acquitted and all charges dropped I want to show you a happy snap I was I wonder if you spent any time in
16:0416 minutes, 4 secondsjail thinking at all about this man who of course funded Australians for
16:1316 minutes, 13 secondshonest politics and which funded the litigation against you he did and I ask you a very difficult
16:2116 minutes, 21 secondsquestion in a wrestle to the death between Tony Abbott and David Oldfield who would you be going for
16:3316 minutes, 33 seconds[Music]
16:3516 minutes, 35 secondsum look I I've my own opinion about both and it's and it's really don't sit on the fence
16:4316 minutes, 43 secondsI I really don't I think if they're both hit by a bus I'd make sure that I'm sure it was the job was done
16:5116 minutes, 51 secondsproperly look I honestly I've always said if David Alford was
16:5816 minutes, 58 secondsever you know ended up in that that final resting ground I'd make sure you know sure sure is I have so much and I
17:0617 minutes, 6 secondsand I'm not a person to hate and I'm and I also feel that you've got to get over things but what it's not the hatred that
17:1417 minutes, 14 secondsI have it's the sheer frustration and anger that there was something there that we
17:2217 minutes, 22 secondscould have that could have grown that I do believe that we need another political force another voice in
17:3117 minutes, 31 secondsAustralian politics we're in election 2004.
17:3517 minutes, 35 secondsare you going to run again yep now you said when you came out of jail I
17:4317 minutes, 43 secondsknow that you have rocks in your head to run so what's changed
17:5117 minutes, 51 secondsI've only saw my father a couple of months ago and he said you're going to have another go and I said dad I don't know I don't know if I've got it in me
18:0018 minutesto do it anymore I sort of got the memories and everything that's happened after years he said you have got so much support
18:0718 minutes, 7 secondsfrom the Australian public he said you've got to give it another go anyway I thought about this and
18:1618 minutes, 16 secondsand then I finally decided yep I will I want to be me I don't want all the hangers
18:2318 minutes, 23 secondshonors I don't want the um the advisors and everyone else I want it to be this time Pauline Hansen and I
18:3218 minutes, 32 secondswant to be able to get up there in Parliament and represent people and ideally love to go back and say I'm back
18:3918 minutes, 39 secondsuh Antonio but I you know I'd be the first one to say hi Tony um so I think that's what it is and I
18:4718 minutes, 47 secondsthink being an independent you know it's so important that just for the average Joe blow out there who knows that at
18:5518 minutes, 55 secondsleast we've got one person there that's prepared to ask the tough questions this prepared to raise these issues isn't a yes person and I think that's what
19:0419 minutes, 4 secondsAustralians need I have no doubts about your intent and your desire and your belief in yourself but with respect going back through your story tonight
19:1219 minutes, 12 secondsand as we look at how you freely admit to people like David Oldfield manipulated you you were taken for a ride by all sorts of people you
19:2019 minutes, 20 secondswere betrayed treater badly you're misinformed mistreated there's a naivety to you I think it's fair to say I think um I think those
19:3019 minutes, 30 secondsyears of naive ters says um quite a bit I've gathered knowledge
19:3819 minutes, 38 secondsexperience political Mouse strategy understanding and I've got a long way to go yet but I geez I'm way up on what I
19:4619 minutes, 46 secondswas in 1996 Andrew are you going to go to the selection with state of policies no no I won't not as an independent I'm
19:5419 minutes, 54 secondsnot with a party and I I'm not going to be government Andrew at all and it'd be stupid on my part you have to see who's
20:0220 minutes, 2 secondsgoing to be government you actually have to see the legislation that comes through then you actually say that the Australian people have a right to know
20:1120 minutes, 11 secondsif they're voting for you what they're voting for well the people in Queensland they're the only people that will be able to vote for me
20:1820 minutes, 18 secondsso this to put policy up there is is silly because I'm not going to have an opportunity to to put policy do you
20:2720 minutes, 27 secondsstill think as you once did that we could face a Civil War in this country what I believe is you can't shuttle for
20:3520 minutes, 35 secondswhat's happening throughout the rest of the world what's happening in other countries and unless we get it right
20:4320 minutes, 43 secondshow do we know what's going to happen further down the track what does get it right mean you have to have cohesiveness you actually have to have
20:5120 minutes, 51 secondspeople that are working and pulling together as one don't create divisions people that um and how do you stop
20:5820 minutes, 58 secondsdivisions in a society where that's that's in this room 100 different points of view you know what annoys me so much
21:0621 minutes, 6 secondsis that the Australian people are being suppressed in their views and their opinions by by policies and legislation that sit down by our so-called
21:1521 minutes, 15 secondsparliamentarians why the hell did they bring in a religious and and um racial and religious vilification law
21:2421 minutes, 24 secondsthat shuts Australians down from have an opinion I have a right to have an opinion but I'm being shut down
21:3121 minutes, 31 secondsI would suggest you're one of the least shut down people I've ever seen I mean truly isn't that true you've you've I mean the very fact we're
21:3921 minutes, 39 secondssitting here tonight is testimony to the fact that you've had every opportunity to express yourself and I've been given a very good one tonight and I really do
21:4821 minutes, 48 secondsappreciate that you said before unless you've ordered my shoes please don't judge me does that make you think differently
21:5621 minutes, 56 secondsabout groups you may have attacked in the past like Aborigines as a group would you represent them differently now from what you've learned I've never
22:0322 minutes, 3 secondschanged I would actually stand up and fight for their issues which I have done on many occasions so a statement such as you made in your maiden speech that
22:1122 minutes, 11 secondsAboriginal people are no more disadvantaged than white people you still believe that to be true
22:2422 minutes, 24 secondsI suppose I didn't want to see it as a put down I was trying to draw the attention to the
22:3322 minutes, 33 secondsinequality in the system you know I don't see them and I don't want to see them anything other than
22:4022 minutes, 40 secondsAustralians you said before that like many Australians you don't have enough information about Iraq you don't know to make an opinion but you're
22:4822 minutes, 48 secondsgoing to if you're in the Senate as an independent Senator you may have the balance of power in the Senate you're going to be expected to know not just that
22:5622 minutes, 56 secondsbut a lot of other things last year in the Senate there were 215 bills passed 129 petitions to give you some idea
23:0323 minutes, 3 secondsBrian harradine who's retiring is an independent Senator the GST legislation was over a thousand pages
23:1123 minutes, 11 secondsthe land rights legislation had 913 amendments each one of which had to be read understood commented on debated
23:1923 minutes, 19 secondsnow you've talked before about how you didn't know what was in the truth about how people misrepresented you how you couldn't control that how you weren't
23:2723 minutes, 27 secondsprepared indeed to even address your own policies are you equipped to do this job um
23:3523 minutes, 35 secondsI think I'm just as equipped to do it as any other Member of Parliament because that got to read that that thousand Pages they've got to read the
23:4323 minutes, 43 secondslegislation as well there's one other contest that you're going for at the same time the ballroom dancing program you're
23:5123 minutes, 51 secondsdoing what can you tell me about this um
23:5923 minutes, 59 secondsforming on two different issues at the same time and it's eight celebrities there's four Men Four Women and I'm one
24:0724 minutes, 7 secondsof the four women there's been selected to go into this dance competition so will you be uh still rehearsing for this
24:1424 minutes, 14 secondsduring this election campaign oh yeah so you're going to be going from interviews and discussing policies to
24:2224 minutes, 22 secondsdancing yes you know what's going to happen don't you people are going to say to you if you're so concerned about the future of Australia
24:3124 minutes, 31 secondswhat are you doing dancing I'm going to be criticized over that it's not as if I've never been down the
24:3924 minutes, 39 secondsroad before with politics so it'll be interesting I can't be fair then to suggest an election slogan for you which
24:4724 minutes, 47 secondscombines your dancing and your politics please don't I've got my own I haven't heard about it you'll love it
24:5424 minutes, 54 secondsit takes one to tango
25:0525 minutes, 5 secondsI was thinking the one give the girl a fair go whatever happens yeah as with all of us
25:1325 minutes, 13 secondsI hope on your journey you continue to learn full enhance and thank you very much

